"","SID","yearCount","COR","von_datum","bis_datum","Statationshoehe","longitude","latitude","Stationsname","Bundesland","Lage"
"55",2497,67,-0.00179148742044512,19470101,20150422,505,50.5016,6.5262,"Kall-Sistig","Nordrhein-Westfalen","W"
"56",5111,70,-0.00828887305221962,19450101,20150422,559,48.031,12.5396,"Trostberg","Bayern","S"
"57",4094,64,-0.00853881179074722,19460101,20150422,440,47.8062,9.6206,"Weingarten, Kr. Ravensburg","Baden-Württemberg","S"
"58",2088,56,-0.0110019827275524,19470101,20050430,498,48.6765,10.1307,"Heidenheim/Brenz","Baden-Württemberg","S"
"59",4581,52,-0.0118746704533043,19510101,20021031,415,48.7768,9.8025,"Schwäbisch Gmünd-Strassdorf","Baden-Württemberg","S"
"60",1103,37,-0.013170426763913,19780101,20150422,592,48.1002,11.9872,"Ebersberg-Halbing","Bayern","S"
"61",4323,46,-0.0165263795957736,19690101,20150422,461,49.6467,7.8835,"Ruppertsecken","Rheinland-Pfalz","W"
"62",2474,33,-0.0171195908380476,19760101,20081231,91,50.9104,6.4093,"Jülich (Forsch.-Anlage)","Nordrhein-Westfalen","W"
"63",2601,67,-0.0200681766117363,19360101,20150422,826,50.2218,8.4469,"Kleiner Feldberg/Taunus","Hessen","W"
"64",2039,74,-0.0265896124453263,19360101,20150422,201,51.9,10.5701,"Harzburg, Bad","Niedersachsen","N"
"65",2211,76,-0.0304405666896789,19370101,20150422,295,50.7371,7.6528,"Hilgenroth","Rheinland-Pfalz","W"
"66",3974,44,-0.0310402713706369,19490301,19930630,368,49.5058,11.5142,"Pommelsbrunn","Bayern","S"
"67",4104,68,-0.0323723782735866,19470101,20150422,365,49.0424,12.1021,"Regensburg","Bayern","S"
"68",3527,68,-0.0395786917448998,19470101,20150422,500,50.8924,9.4053,"Neukirchen-Hauptschwenda","Hessen","W"
"69",2532,55,-0.0399228648837518,19510101,20131031,231,51.2963,9.4424,"Kassel","Hessen","W"
"70",1201,53,-0.0408006079166383,19470701,20001231,85,50.9281,6.5646,"Elsdorf/Erftkreis","Nordrhein-Westfalen","W"
"71",2814,64,-0.0420264651135804,19490101,20150422,685,48.5121,9.7645,"Merklingen","Baden-Württemberg","S"
"72",4709,65,-0.0423309285731382,19480101,20150422,445,49.9996,7.5981,"Simmern-Wahlbach","Rheinland-Pfalz","W"
"73",193,30,-0.0435980619600945,19680101,19971031,232,51.3845,9.082,"Arolsen-Neu Berich","Hessen","W"
"74",5361,57,-0.0442314946079281,19490101,20051231,270,50.6271,9.442,"Wartenberg-Angersbach","Hessen","W"
"75",881,54,-0.0490236607592108,19500101,20031231,423,49.0984,10.098,"Crailsheim-Alexandersreut","Baden-Württemberg","S"
"76",5433,57,-0.0502184875173758,19570101,20150422,380,49.5534,6.812,"Weiskirchen/Saar","Saarland","W"
"77",2349,53,-0.0521905139067737,19530101,20050831,1119,48.6136,8.2034,"Hornisgrinde","Baden-Württemberg","S"
"78",4300,49,-0.0525546833516217,19570201,20150422,588,48.1813,8.6351,"Rottweil","Baden-Württemberg","S"
"79",2488,57,-0.0534067147269228,19460101,20020930,516,48.7701,10.7876,"Kaisheim-Neuhof","Bayern","S"
"80",1875,52,-0.0537653466504885,19510101,20021231,492,48.9354,9.7364,"Gschwend, Kr. Ostalb","Baden-Württemberg","S"
"81",4664,56,-0.0545567671342061,19410101,20000630,611,50.1969,12.1727,"Selb/Oberfranken-Wildenau","Bayern","S"
"82",1238,46,-0.0579038373392352,19510101,19960930,144,50.9884,7.425,"Engelskirchen","Nordrhein-Westfalen","W"
"83",755,76,-0.0585986056124553,19350101,20150422,340,49.5181,9.3214,"Buchen, Kr. Neckar-Odenwald","Baden-Württemberg","S"
"84",5300,58,-0.0608376209698095,19510101,20150422,380,50.2599,8.3602,"Waldems-Reinborn","Hessen","W"
"85",5404,58,-0.0630908336647763,19310101,20150422,477,48.4025,11.6946,"Weihenstephan-Dürnast","Bayern","S"
"86",3730,78,-0.0638361636383296,19360101,20150422,806,47.3986,10.276,"Oberstdorf","Bayern","S"
"87",4125,58,-0.064891542538934,19450101,20061130,470,47.7238,12.874,"Reichenhall, Bad","Bayern","S"
"88",5941,65,-0.0650426894339746,19450101,20150422,685,47.6752,12.4696,"Reit im Winkl","Bayern","S"
"89",4703,63,-0.0658728015464304,19510101,20150422,580,48.0719,9.1942,"Sigmaringen-Laiz","Baden-Württemberg","S"
"90",4741,67,-0.0662930988209697,19360101,20021231,154,51.1398,7.0934,"Solingen-Hohenscheid","Nordrhein-Westfalen","W"
"91",1197,72,-0.0669496886932222,19410101,20150422,460,48.9895,10.1312,"Ellwangen-Rindelbach","Baden-Württemberg","S"
"92",1645,64,-0.0673237020105971,19490101,20150422,340,50.9656,9.05,"Gilserberg-Moischeid","Hessen","W"
"93",1300,70,-0.0674938089808347,19380101,20150422,351,51.254,8.1563,"Eslohe","Nordrhein-Westfalen","W"
"94",4651,75,-0.0686976941591961,19370101,20150422,186,51.9044,10.1888,"Seesen","Niedersachsen","N"
"95",2559,62,-0.0695396460571602,19520101,20150422,705,47.7233,10.3348,"Kempten","Bayern","S"
"96",5046,41,-0.0695581841696053,19670101,20150422,500,49.8578,12.3541,"Tirschenreuth-Lodermühl","Bayern","S"
"97",4557,50,-0.0701930271572445,19530101,20021031,400,47.6463,7.8435,"Schopfheim-Eichen","Baden-Württemberg","S"
"98",4592,62,-0.0769961528568313,19510101,20150422,356,49.3278,12.0871,"Schwandorf","Bayern","S"
"99",14311,45,-0.0771055003274865,19610101,20051231,530,50.1505,6.5526,"Hersdorf-Weißenseifen","Rheinland-Pfalz","W"
"100",151,67,-0.0778222646962693,19470101,20150421,383,49.4689,11.8547,"Amberg-Unterammersricht","Bayern","S"
