"1" 3096 53 3096 0.460414892382523 51.2131 7.6359 "Lüdenscheid (Zeppelin-Gymnasium)" "Nordrhein-Westfalen" "W" 444 19400101 19951231
"2" 3612 41 3612 0.455121113713592 52.6711 9.2229 "Nienburg" "Niedersachsen" "N" 25 19470101 20150422
"3" 186 33 186 0.411888617930108 51.3773 8.0713 "Arnsberg" "Nordrhein-Westfalen" "W" 218 19470101 19980930
"4" 4339 38 4339 0.400274864917344 49.2231 7.0168 "Saarbrücken-Sankt Johann" "Saarland" "W" 193 19480101 20010331
"5" 1219 30 1219 0.397674693940016 53.3449 7.1909 "Emden-Nesserland" "Niedersachsen" "N" 5 19470101 19970630
"6" 1079 53 1079 0.395684162783322 51.1998 6.7574 "Düsseldorf-Südfriedhof" "Nordrhein-Westfalen" "W" 37 19350101 19960731
"7" 554 38 554 0.387678373780488 51.8293 6.5365 "Bocholt-Liedern (Wasserwerk)" "Nordrhein-Westfalen" "W" 23 19470101 20060228
"8" 648 32 648 0.387357868493219 53.8551 9.7152 "Brande-Hörnerkirchen" "Schleswig-Holstein" "N" 9 19630501 20061231
"9" 1266 33 1266 0.37680144306638 54.2989 9.3161 "Erfde" "Schleswig-Holstein" "N" 18 19640501 20150422
"10" 1691 68 1691 0.376099216300147 51.5003 9.9506 "Göttingen" "Niedersachsen" "N" 167 19470101 20150422
"11" 3101 41 3101 0.37493576903072 51.7694 7.4128 "Lüdinghausen" "Nordrhein-Westfalen" "W" 58 19500101 19950930
"12" 656 77 656 0.370804991810589 51.7234 10.6021 "Braunlage" "Niedersachsen" "N" 607 19360101 20150422
"13" 5099 39 5099 0.370566214343023 49.7326 6.6131 "Trier-Zewen" "Rheinland-Pfalz" "W" 132 19070501 20150422
"14" 2080 47 2080 0.36961087085521 49.4206 8.6676 "Heidelberg" "Baden-Württemberg" "S" 110 19350101 20120911
"15" 430 32 430 0.368170321148987 52.5644 13.3088 "Berlin-Tegel" "Berlin" "O" 36 19630101 20150422
