"","SID","yearCount","COR","von_datum","bis_datum","Statationshoehe","longitude","latitude","Stationsname","Bundesland","Lage"
"1",5792,111,0.371549467985843,19000801,20150422,2964,47.4209,10.9847,"Zugspitze","Bayern","S"
"2",1346,68,0.293794433007226,19450101,20150422,1490,47.8749,8.0038,"Feldberg/Schwarzwald","Baden-Württemberg","S"
"3",5467,61,0.155128831195392,19510101,20120920,1832,47.7035,12.0119,"Wendelstein","Bayern","S"
"4",4091,36,0.0685038074466453,19620701,19980630,1640,47.7327,12.6827,"Rauschberg bei Ruhpolding","Bayern","S"
"5",1833,36,0.0503316854745914,19470101,19821031,1307,49.0851,13.2801,"Grosser Falkenstein","Bayern","S"
"6",2349,53,-0.0664239167160125,19530101,20050831,1119,48.6136,8.2034,"Hornisgrinde","Baden-Württemberg","S"
"7",2290,95,-0.0967823135532748,17810101,20150422,977,47.8009,11.0109,"Hohenpeißenberg","Bayern","S"
