"Smax" "Smin" "S>0.5" "S>0.4" "Rmax" "Rmin" "R>0.5" "R>0.4" "Tmax" "Tmin" "T>0.5" "T>0.4"
"De" 0.46 -0.178 0 4 0.339 -0.308 0 0 0.512 -0.037 2 35
"N" 0.455 0.031 0 1 0.223 -0.272 0 0 0.508 0.165 1 14
"O" 0.368 -0.02 0 0 0.22 -0.308 0 0 0.512 0.107 1 17
"S" 0.37 -0.178 0 0 0.333 -0.138 0 0 0.472 -0.037 0 2
"W" 0.46 -0.036 0 3 0.339 -0.199 0 0 0.424 0.123 0 2
