59,42,0.711864406779661,50.5227,12.8287,Raschau,Sachsen,O
228,162,0.7105263157894737,47.8009,11.0109,Hohenpeißenberg,Bayern,S
62,44,0.7096774193548387,50.4419,11.2411,Judenbach-Neuenbau,Thüringen,O
61,43,0.7049180327868853,48.5665,8.7184,Nagold,Baden-Württemberg,S
61,43,0.7049180327868853,49.0182,9.7414,Gaildorf-Hägenau,Baden-Württemberg,S
16,11,0.6875,47.8516,8.7673,Engen/Hegau,Baden-Württemberg,S
58,39,0.6724137931034483,51.3243,11.8023,Mücheln/Geiseltal-Stöbnitz,Sachsen-Anhalt,O
121,81,0.6694214876033058,51.2007,14.0207,Pulsnitz,Sachsen,O
3,2,0.6666666666666666,48.3333,9.8333,Erstetten,Baden-Württemberg,S
6,4,0.6666666666666666,49.3333,12.7667,Althütte bei Waldmünchen,Bayern,S
3,2,0.6666666666666666,49.6475,10.0205,Ochsenfurt-Kaltenhof,Bayern,S
63,41,0.6507936507936508,53.5954,13.8121,Rothemühl,Mecklenburg-Vorpommern,O
107,69,0.6448598130841121,51.4284,11.0228,Kelbra (Talsperre),Sachsen-Anhalt,O
84,54,0.6428571428571429,50.9,14.6667,Großschönau,Sachsen,O
14,9,0.6428571428571429,48.7918,10.7062,Harburg,Bayern,S
95,61,0.6421052631578947,51.387,14.4067,Lohsa,Sachsen,O
67,43,0.6417910447761194,53.2141,11.3686,Malk Göhren,Mecklenburg-Vorpommern,O
81,51,0.6296296296296297,51.7498,11.4667,Aschersleben,Sachsen-Anhalt,O
80,50,0.625,49.0493,9.3922,Oberstenfeld-Prevorst,Baden-Württemberg,S
8,5,0.625,48.1441,11.6,München-Bogenhausen,Bayern,S
29,18,0.6206896551724138,51.0873,11.9292,Osterfeld,Sachsen-Anhalt,O
57,35,0.6140350877192983,52.9213,14.1093,Lunow,Brandenburg,O
44,27,0.6136363636363636,50.5131,11.3665,Ludwigsstadt-Lauenstein,Bayern,S
58,35,0.603448275862069,50.906,11.4483,Magdala,Thüringen,O
5,3,0.6,50.9667,13.7,Possendorf,Sachsen,O
5,3,0.6,52.5167,13.4167,Berlin-Friedrichshain,Berlin,O
5,3,0.6,52.3667,9.7667,Hannover-Südstadt,Niedersachsen,N
56,33,0.5892857142857143,47.8899,12.5396,Chieming/Chiemsee,Bayern,S
46,27,0.5869565217391305,52.8877,12.2751,Stüdenitz,Brandenburg,O
75,44,0.5866666666666667,51.777,11.5744,Amesdorf-Warmsdorf,Sachsen-Anhalt,O
58,34,0.5862068965517241,49.1287,9.0049,Schwaigern-Stetten am Heuchelberg,Baden-Württemberg,S
125,72,0.576,53.4543,11.5685,Neustadt-Glewe-Friedrichsmoor,Mecklenburg-Vorpommern,O
7,4,0.5714285714285714,51.7498,8.6451,Paderborn-Sande,Nordrhein-Westfalen,W
107,61,0.5700934579439252,52.1736,11.11,Sommerschenburg,Sachsen-Anhalt,O
37,21,0.5675675675675675,47.5583,7.9891,"Säckingen, Bad (Bergseestr.)",Baden-Württemberg,S
97,55,0.5670103092783505,49.6481,11.245,Gräfenberg,Bayern,S
99,56,0.5656565656565656,51.7359,14.6384,Forst/Lausitz,Brandenburg,O
62,35,0.5645161290322581,51.6794,11.3641,Arnstein-Ulzigerode,Sachsen-Anhalt,O
112,63,0.5625,50.4038,11.8196,Hirschberg,Thüringen,O
105,59,0.5619047619047619,47.781,10.6166,Marktoberdorf,Bayern,S
9,5,0.5555555555555556,51.9155,10.7926,Langeln Kreis Wernigerode,Sachsen-Anhalt,O
114,63,0.5526315789473685,51.2098,13.7243,Radeburg,Sachsen,O
20,11,0.55,50.9383,14.2093,Lichtenhain-Mittelndorf,Sachsen,O
91,50,0.5494505494505495,51.2909,11.605,"Reinsdorf, Kreis Nebra",Sachsen-Anhalt,O
103,56,0.5436893203883495,51.4343,11.6685,Schraplau,Sachsen-Anhalt,O
103,56,0.5436893203883495,48.4241,12.4054,Bodenkirchen-Aich,Bayern,S
24,13,0.5416666666666666,51.7209,9.8352,Moringen-Lutterbeck,Niedersachsen,N
26,14,0.5384615384615384,52.1601,11.1759,Ummendorf,Sachsen-Anhalt,O
97,52,0.5360824742268041,50.646,13.0637,Schönbrunn/Sachsen,Sachsen,O
45,24,0.5333333333333333,51.9751,13.5954,Golßen,Brandenburg,O
36,19,0.5277777777777778,50.6546,10.7693,Schmücke,Thüringen,O
114,60,0.5263157894736842,47.6685,11.2245,Murnau,Bayern,S
21,11,0.5238095238095238,48.0197,12.2924,Amerang-Pfaffing,Bayern,S
100,52,0.52,50.5277,12.9328,Crottendorf,Sachsen,O
110,57,0.5181818181818182,53.2149,14.0106,Gramzow,Brandenburg,O
62,32,0.5161290322580645,51.2326,10.7693,Freienbessingen,Thüringen,O
64,33,0.515625,51.4379,14.2426,Hoyerswerda (Ph),Sachsen,O
45,23,0.5111111111111111,52.0614,13.4996,Baruth,Brandenburg,O
55,28,0.509090909090909,53.4779,9.1553,Bremervörde (A),Niedersachsen,N
20,10,0.5,51.519,12.9062,Klitzschen bei Torgau,Sachsen,O
