"SID","YEAR","allMeanSONNE","allMeanREGEN","allMeanTEMP","allMeanSONNE2","allMeanREGEN2","allMeanTEMP2","allMeanSONNEw","allMeanREGENw","allMeanTEMPw","allMeanSONNEw2","allMeanREGENw2","allMeanTEMPw2"
3032,1963,7.56666666666667,1.2,14.3,6.90769230769231,5.46923076923077,16.1615384615385,7.612,3.518,16.386,7.79024390243902,2.91219512195122,16.280487804878
3096,1995,15.4,0,20.7,10.8230769230769,1.34615384615385,18.5923076923077,9.298,1.69,19.892,9.3,1.63414634146341,20.3146341463415
3155,2012,6.27233333333333,2.4,17.1333333333333,5.67561538461538,1.42307692307692,16.4,7.03898,3.336,16.054,7.26624390243902,3.79268292682927,15.9414634146341
3166,2005,9.9,0.0333333333333333,15.4333333333333,6.13076923076923,7.16153846153846,14.8615384615385,5.514,4.72,14.468,5.70243902439024,3.78292682926829,14.5536585365854
3167,1968,2.5,10.9,15.9666666666667,7.03076923076923,4.59230769230769,16.5076923076923,5.312,5.818,14.452,4.48780487804878,6.44146341463415,13.9292682926829
3204,1999,8.06666666666667,0.633333333333333,16.5,6.61538461538461,6.32307692307692,17.6384615384615,6.64,4.608,17.11,6.84146341463415,3.6609756097561,16.7975609756098
3231,2000,8.23333333333333,0,11,4.2,4.35384615384615,14.2230769230769,3.746,3.2,15.14,3.91707317073171,2.61219512195122,15.0439024390244
3366,2005,10.9333333333333,0.933333333333333,21.7666666666667,7.78461538461538,7.72307692307692,18.3,6.564,3.808,17.176,6.61707317073171,3.19268292682927,17.3048780487805
3485,2002,10.0666666666667,0.733333333333333,17.4,8.05384615384615,1.72307692307692,16.2615384615385,6.634,5.124,17.034,6.55121951219512,5.75609756097561,17.3048780487805
3621,1970,10.5666666666667,3.13333333333333,19.7666666666667,5.71538461538462,1.34615384615385,16.2,6.724,2.23,17.074,7.20487804878049,2.52439024390244,17.5951219512195
3631,2000,2.43333333333333,0.1,12.3,3.49230769230769,0.338461538461538,13.9,4.362,1.568,15.642,4.39024390243902,1.81707317073171,15.880487804878
3730,1937,3.76666666666667,14.2333333333333,14.7333333333333,6.39230769230769,4.98461538461539,15.1769230769231,5.698,6.458,15.368,5.28048780487805,7.3609756097561,15.3707317073171
3761,1990,9.16666666666667,1.83333333333333,21.2666666666667,7.13076923076923,5.92307692307692,17.4769230769231,9.24,1.82,18.884,10.0390243902439,0.475609756097561,19.5024390243902
3815,1992,14.1,0,20.7333333333333,8.05384615384615,1.19230769230769,19.6846153846154,6.76,3.532,19.246,6.92682926829268,3.92926829268293,19.1975609756098
3924,1959,4.7,3.76666666666667,17.7,6.22307692307692,1.94615384615385,17.9615384615385,7.412,1.994,17.924,7.61707317073171,2.09024390243902,17.9170731707317
4091,1980,2.03333333333333,15.8,3.53333333333333,2.86153846153846,9.93076923076923,5.08461538461538,5.262,5.952,10.108,5.69512195121951,5.3390243902439,11.0439024390244
4301,2010,14.3666666666667,0,22.1,12.3230769230769,0.223076923076923,22.7153846153846,8.088,2.228,20.736,7.28292682926829,2.64634146341463,20.2146341463415
4393,2006,3.33333333333333,0.166666666666667,15.8,10.5538461538462,0.407692307692308,19.2153846153846,9.474,2.654,19.436,8.65365853658536,3.16829268292683,19.2658536585366
4442,1993,2.66666666666667,1.06666666666667,13.8,6.64615384615385,0.630769230769231,16.1538461538462,5.888,3.028,16.194,5.31463414634146,3.5780487804878,15.909756097561
4501,2010,12.9333333333333,0,16.7666666666667,9.07692307692308,1.74615384615385,17.9076923076923,6.182,6.126,15.944,5.74390243902439,6.94634146341463,15.3878048780488
4642,1993,3.4,1,13.3666666666667,7.50769230769231,0.453846153846154,15.8,6.002,2.888,16.628,5.29024390243902,3.51951219512195,16.5170731707317
4664,1979,7.83333333333333,2.76666666666667,17.0333333333333,5.95384615384615,1.23846153846154,14.2538461538462,5.078,2.588,14.624,5.08292682926829,2.96585365853659,14.990243902439
4745,1982,4.66666666666667,6.76666666666667,15.8666666666667,5.43846153846154,2.62307692307692,15.5846153846154,7.794,1.436,18.728,8.21463414634146,1.41707317073171,19.4609756097561
4896,1995,14.5333333333333,0,19.1,11.0461538461538,0.223076923076923,15.8076923076923,10.396,0.942,18.122,10.6219512195122,1.0780487804878,18.9292682926829
4928,2011,13.1166666666667,0,23.6333333333333,8.45638461538462,1.77692307692308,19.1153846153846,6.25766,2.55,17.788,5.93617073170732,2.54634146341463,17.7536585365854
5009,2014,8.99466666666667,6.83333333333333,15.6,7.78207692307692,2.36923076923077,16.9615384615385,7.58202,2.806,19.19,7.67524390243902,3.17073170731707,19.5170731707317
5075,1972,11.1,3.86666666666667,17.2333333333333,7.36923076923077,1.79230769230769,15.4846153846154,7.074,4.52,17.006,7.42926829268293,5.22682926829268,17.419512195122
5155,2012,9.38366666666667,0.0666666666666667,19.1666666666667,7.118,5.23076923076923,19.1230769230769,7.86964,3.222,18.284,8.19917073170732,2.29268292682927,18.0024390243902
5404,1999,5.73333333333333,2,15.8333333333333,9.04615384615385,1.34615384615385,18.2538461538462,7.178,2.536,17.564,6.59756097560976,2.81219512195122,17.1609756097561
5426,1985,3.06666666666667,1.9,10.5,6.71538461538462,1.14615384615385,14.6846153846154,7.312,1.186,16.678,7.20243902439025,1.2219512195122,16.7243902439024
5654,1949,10.5,0,14.6,10.4769230769231,0.0615384615384615,14.8153846153846,9.466,0.984,17.206,9.18048780487805,1.18048780487805,17.6804878048781
5664,1979,4.73333333333333,0.166666666666667,19.3666666666667,4.54615384615385,0.530769230769231,16.4923076923077,5.982,2.356,17.584,6.32682926829268,2.71707317073171,18.0365853658537
7420,2007,6.06666666666667,0.3,12.8666666666667,4.9,2.41538461538462,15.4538461538462,6.272,3.592,17.912,6.69024390243902,3.77804878048781,18.3243902439024
13674,2009,4.83333333333333,0.633333333333333,19.5,6.98461538461538,4.04615384615385,20.4384615384615,6.732,4.424,19.204,6.56585365853658,4.34390243902439,18.8243902439024
150,1998,6.73333333333333,0,20.5,5.12307692307692,0.723076923076923,18.0615384615385,6.832,1.022,18.868,7.44390243902439,1.01707317073171,19.3317073170732
183,1977,4.96666666666667,3.5,14.5,8.1,4.54615384615385,15.2769230769231,7.266,3.248,15.726,6.98048780487805,3.04390243902439,15.7951219512195
232,1964,4.26666666666667,3.53333333333333,18.2666666666667,8.09230769230769,1.08461538461538,15.8307692307692,8.772,1.072,18.448,8.53658536585366,1.22195121951219,19.209756097561
259,1965,9,0,19.4,8.87692307692308,2.84615384615385,18.6153846153846,6.84,2.56,17.432,6.51463414634146,2.21951219512195,17.3853658536585
480,1988,2.6,7.63333333333333,16.1,4.55384615384615,3.46923076923077,16,7.014,1.716,16.252,7.3,1.61951219512195,16.2926829268293
502,1974,4.4,10.1,15.3666666666667,5.13076923076923,6.63846153846154,14.1615384615385,6.584,3.984,15.452,6.99268292682927,3.49512195121951,15.8682926829268
555,2013,0.783333333333333,8.1,12.0333333333333,4.26538461538462,2.16153846153846,15.7769230769231,7.36896,0.474,19.194,7.71012195121951,0.48780487804878,19.6
599,1985,1.4,5.86666666666667,12.9,5.56923076923077,2.43846153846154,17.1769230769231,6.638,2.112,18.47,6.50975609756097,2.44878048780488,18.3780487804878
685,2003,9,0.0333333333333333,18.6333333333333,5.925,1.81666666666667,16.3416666666667,8.82708333333333,1.36666666666667,20.6479166666667,9.73333333333333,1.12564102564103,21.8179487179487
691,1981,2.2,8.6,16.6,4.4,5.30769230769231,16.0538461538462,5.456,2.402,17.07,5.59024390243902,2.01951219512195,17.3292682926829
701,2011,14.2056666666667,0,21.6,6.25515384615385,0.776923076923077,17.2538461538462,3.62802,3.128,16.986,3.58824390243902,3.60975609756098,17.1609756097561
755,2013,3.32766666666667,2.7,11.4333333333333,6.36784615384615,1.83076923076923,14.9846153846154,9.27332,1.352,19.26,9.54309756097561,1.34634146341463,19.8536585365854
766,2006,4.83333333333333,0.433333333333333,16.4,9.20769230769231,0.553846153846154,19.6307692307692,8.23265306122449,2.3469387755102,18.9959183673469,7.615,2.7975,18.63
848,1972,11.4,0,19.2333333333333,5.8,2.30769230769231,16.2384615384615,5.964,2.406,18.096,6.5609756097561,2.20243902439024,18.7219512195122
853,1987,2.9,2.6,15.8333333333333,7.63076923076923,0.653846153846154,18.0153846153846,6.372,2.534,15.636,5.57804878048781,3.07317073170732,14.7975609756098
880,1988,7.16666666666667,9.4,18.6666666666667,6.62307692307692,3.92307692307692,19.4461538461538,7.824,1.388,19.204,7.96829268292683,1.18536585365854,18.9951219512195
881,1951,4.5,10.6666666666667,12.5666666666667,8.71538461538462,2.56153846153846,14.7923076923077,7.93,1.972,17.17,7.29756097560976,2.40487804878049,17.4853658536585
891,1981,2.03333333333333,11.4666666666667,15.4666666666667,5.39230769230769,5.76923076923077,15.6615384615385,5.826,2.176,16.904,5.79268292682927,1.66341463414634,17.1463414634146
1048,1972,9.96666666666667,7.63333333333333,19,7.47692307692308,4.04615384615385,17.2153846153846,6.688,2.482,19.228,6.87317073170731,2.30243902439024,19.7439024390244
1172,1984,3.36666666666667,0.0666666666666667,14.5333333333333,3.36153846153846,1.53846153846154,13.4769230769231,4.934,2.334,16.662,5.21707317073171,2.47560975609756,17.4170731707317
1221,1971,1.4,3.36666666666667,14.5,8.27692307692308,0.838461538461538,15.8692307692308,7.298,2.432,16.98,6.49756097560976,2.94634146341463,17.1512195121951
1270,1958,0.2,10.2666666666667,14.6333333333333,3.29230769230769,6.06923076923077,15.6,7.544,2.516,17.61,8.2780487804878,1.89512195121951,17.9390243902439
1275,1973,11.4666666666667,2.83333333333333,20.1,8.97692307692308,1.60769230769231,19.3846153846154,7.748,1.724,17.644,7.54390243902439,1.82439024390244,17.2853658536585
1346,1946,9.06666666666667,0.3,10.1666666666667,8.11538461538461,3.73846153846154,12.5230769230769,8.066,2.796,12.132,8.04634146341463,2.40487804878049,11.7878048780488
1420,2008,6.7,0.0333333333333333,19.1666666666667,8.39230769230769,1.73846153846154,20.6076923076923,6.972,1.642,20.096,6.38780487804878,1.90487804878049,19.9
1443,1957,12.7,0.7,17.6666666666667,12.5153846153846,1.5,24.2,7.33,3.904,19.814,5.99756097560976,4.71951219512195,18.1121951219512
1550,1998,4.5,24.0333333333333,16.8666666666667,4.60769230769231,10.3461538461538,16.4384615384615,6.432,4.622,17.226,6.98780487804878,4.15853658536585,17.5146341463415
1691,1981,4.03333333333333,3.13333333333333,17.8666666666667,3.32307692307692,2.12307692307692,16.4769230769231,4.226,2.936,17.056,4.48536585365854,3.15121951219512,17.2682926829268
1766,2006,4.23333333333333,0,17.0333333333333,9.66923076923077,1.35384615384615,20.9384615384615,8.402,1.652,20.628,7.69024390243902,1.72926829268293,20.3
2074,2010,13.1,0,20.3,11.2384615384615,3.19230769230769,20.5076923076923,7.594,5.048,18.474,6.99512195121951,5.14390243902439,17.9585365853659
2081,1951,1.9,2.5,11.3,8.64615384615385,1.05384615384615,14.0769230769231,8.114,2.454,16.276,7.34146341463414,2.99268292682927,16.4707317073171
2388,1992,9.96666666666667,0.0333333333333333,19.9666666666667,6.08461538461538,1.86923076923077,19.0692307692308,8.076,1.13,20.852,8.65121951219512,0.873170731707317,21.2365853658537
2444,1920,3.66666666666667,1.4,17.0333333333333,6.05384615384615,5.53076923076923,18.5153846153846,7.99,2.784,17.9,8.23658536585366,1.85365853658537,17.580487804878
2464,1980,7.76666666666667,2.76666666666667,12.2333333333333,3.72307692307692,5.39230769230769,13.1153846153846,4.98,3.782,16.056,5.51707317073171,3.28536585365854,16.6
2665,1943,1.96666666666667,0,15.0666666666667,4.89230769230769,0.315384615384615,15.9076923076923,6.864,1.55,18.664,7.18536585365854,1.79024390243902,19.2219512195122
2712,2004,7.56666666666667,0.0333333333333333,20,7.16923076923077,1.16923076923077,18.5923076923077,7.468,2.436,19.646,7.61463414634146,2.60243902439024,19.9658536585366
2783,1977,4.36666666666667,3.3,14.6333333333333,8.83846153846154,2.97692307692308,17.5076923076923,7.904,3.792,17.022,7.35121951219512,3.96585365853658,16.7170731707317
2907,1989,9.93333333333333,7.3,16.6666666666667,10.3307692307692,2.97692307692308,17.1153846153846,5.732,2.06,16.142,4.75609756097561,2.10243902439024,15.8731707317073
2928,2012,5.37233333333333,0.466666666666667,17.0666666666667,5.95376923076923,3.23846153846154,19.2,7.1076,1.996,18.728,7.33612195121951,1.50975609756098,18.3658536585366
3015,1993,3.6,1.96666666666667,12.4666666666667,7.02307692307692,2.39230769230769,15.4846153846154,7.266,2.636,16.942,7.05853658536585,2.60243902439024,16.9463414634146
3031,2001,9.4,2.06666666666667,20.5,10.4307692307692,1.56923076923077,19.9692307692308,7.714,2.366,19.246,7.11463414634146,2.5390243902439,19.0634146341463
3032,1964,12.5666666666667,0,15.6333333333333,7.92307692307692,1.87692307692308,13.4846153846154,6.254,2.622,15.01,6.28536585365854,2.60243902439024,15.5073170731707
3155,2013,2.261,3.86666666666667,10.4666666666667,6.38707692307692,2,14.4076923076923,9.34167391304348,0.995652173913043,17.7717391304348,9.55678378378378,0.848648648648649,18.172972972973
3166,2006,7.86666666666667,3.53333333333333,18.1666666666667,9.38461538461539,1.69230769230769,17.9923076923077,7.66,2.51,17.522,7.18536585365854,2.78292682926829,17.5317073170732
3167,1969,3.4,1.3,11.6666666666667,5.92307692307692,0.746153846153846,14.3,7.344,1.538,17.178,7.32682926829268,1.77073170731707,17.4975609756098
3204,2000,9.3,0.0333333333333333,10.9,6.16153846153846,4.06923076923077,14.2769230769231,6.076,2.77,15.45,6.25609756097561,2.15121951219512,15.4170731707317
3231,2001,9.63333333333333,12.7,19.7666666666667,9.73846153846154,4.08461538461538,18.5538461538462,7.788,1.716,17.728,7.36829268292683,1.72682926829268,17.6195121951219
3366,2006,8.5,0.733333333333333,21.3666666666667,9.42307692307692,2.36153846153846,20.1538461538462,8.466,2.946,19.172,8.21707317073171,3.27317073170732,19.1146341463415
3485,2003,7.53333333333333,0,19.2666666666667,7.36923076923077,3.63076923076923,17.7,9.02,2.614,19.894,9.41219512195122,2.04146341463415,20.5414634146341
3518,1982,3.86666666666667,3.46666666666667,12.7,8.83846153846154,2.10769230769231,15.5,7.232,3.314,16.862,6.48292682926829,3.88536585365854,17.019512195122
3621,1971,5.16666666666667,3.9,14.6,7.90769230769231,1.37692307692308,15.1153846153846,8.712,1.366,18,8.6390243902439,1.51463414634146,18.6804878048781
3631,2001,9.23333333333333,0.2,17.4,10.4923076923077,0.823076923076923,18.7076923076923,7.678,4.04,17.928,7.00975609756097,4.68048780487805,17.5487804878049
3730,1938,9.76666666666667,1.96666666666667,19.6,6.39230769230769,4.62307692307692,15.8923076923077,5.464,6.476,15.244,5.67560975609756,6.62682926829268,15.4829268292683
3761,1991,5.8,3.36666666666667,14.8666666666667,10.4076923076923,0.784615384615385,19.3538461538462,9.208,0.978,20.172,8.47073170731707,1.19024390243902,20.0317073170732
3815,1993,3.7,0.766666666666667,14.3333333333333,7.07692307692308,0.776923076923077,16.5153846153846,4.974,3.14,16.19,4.15853658536585,3.64390243902439,15.8463414634146
3924,1960,4.23333333333333,13.1666666666667,15.3666666666667,5.36923076923077,4.07692307692308,14.1384615384615,5.262,3.604,14.744,5.02439024390244,4.2,15.0853658536585
4091,1981,7.36666666666667,8.36666666666667,13.5,6.35384615384615,3.08461538461538,10.7384615384615,5.53,8.604,10.966,5.39268292682927,10.1268292682927,11.1609756097561
4301,2011,12.4556666666667,0,23.8333333333333,8.36930769230769,0.638461538461539,19.4846153846154,5.63946,1.814,18.19,5.13509756097561,2.00975609756098,18.1317073170732
4393,2007,3.66666666666667,8.56666666666667,13.9666666666667,4.06153846153846,7,15.3538461538462,6.876,3.156,17.224,7.38780487804878,2.40731707317073,17.5707317073171
4442,1994,8.56666666666667,0,22.5,9.43076923076923,3.56923076923077,20.8615384615385,8.922,2.618,20.446,8.82439024390244,2.07073170731707,20.5
4501,2011,11.3666666666667,0.166666666666667,17.2333333333333,6.47953846153846,4.26923076923077,13.1923076923077,4.3597,4.5,12.772,4.14678048780488,4.18292682926829,12.8463414634146
4642,1994,12.7,0,22.6,11.1307692307692,1.69230769230769,20.7692307692308,9.878,1.874,21.062,9.83658536585366,1.74878048780488,21.2878048780488
4664,1980,2.83333333333333,6.63333333333333,9.5,2.9,5.04615384615385,11.0461538461538,5.296,3.156,14.434,5.87560975609756,2.74634146341463,15.0634146341463
4745,1983,7,1.2,14.5,7.41538461538462,4.38461538461539,16.7769230769231,8.106,1.352,18.828,8.27317073170732,0.346341463414634,19.1
4896,1996,6.13333333333333,0.5,13.3666666666667,4.35384615384615,4.03076923076923,12.7538461538462,6.906,1.91,15.222,7.52439024390244,1.08780487804878,15.7853658536585
4928,2012,8.778,1.33333333333333,20.4333333333333,6.95261538461539,4.57692307692308,20.0076923076923,7.494,2.228,19.69,7.83129268292683,1.36341463414634,19.5414634146341
5075,1973,12.5666666666667,4.46666666666667,20.5666666666667,9.52307692307692,2.65384615384615,18.9307692307692,8.086,3.086,16.788,7.85121951219512,3.24878048780488,16.3560975609756
5155,2013,4.22766666666667,1.33333333333333,11,6.34361538461539,1.33076923076923,15.3923076923077,9.69976,1.904,19.88,10.2326097560976,2,20.4585365853659
5404,2000,10.6,0.0333333333333333,12.9666666666667,8.64615384615385,3.39230769230769,16.0230769230769,6.478,3.638,16.142,6,3.36585365853659,15.8365853658537
5426,1986,13.9,0,22.3333333333333,10.6153846153846,1.07692307692308,19.8692307692308,8.042,1.248,17.874,7.79268292682927,1.18048780487805,17.5829268292683
