335,19761201,19771031,4.0,54.3426,10.6018,Behrensdorf,Schleswig-Holstein,N
342,20101201,20150422,103.0,52.317,8.1693,Belm,Niedersachsen,N
348,19900101,20110901,127.0,50.4135,7.5886,Bendorf,Rheinland-Pfalz,W
355,19470101,19891031,140.0,49.6789,8.6276,Bensheim,Hessen,W
361,19480101,19981231,550.0,47.6344,13.0109,Berchtesgaden (KKst),Bayern,S
365,19911001,20020930,421.0,49.3311,11.4303,Berg/Oberpfalz,Bayern,S
368,20000701,20150422,70.0,52.8152,9.9248,Bergen,Niedersachsen,N
377,19470101,20150422,252.0,49.107,7.9967,"Bergzabern, Bad",Rheinland-Pfalz,W
386,19730701,19861130,445.0,51.0454,8.3851,"Berleburg, Bad",Nordrhein-Westfalen,W
390,19861201,20150422,610.0,50.9837,8.3679,"Berleburg, Bad-Stünzel",Nordrhein-Westfalen,W
399,19810101,20150422,37.0,52.5205,13.4105,Berlin-Alexanderplatz,Berlin,O
400,19610101,20150422,60.0,52.6309,13.5022,Berlin-Buch,Berlin,O
402,18760101,19621231,55.0,52.4564,13.2997,Berlin-Dahlem (LFAG),Berlin,O
403,19500101,20150422,51.0,52.4578,13.3101,Berlin-Dahlem (FU),Berlin,O
410,19960601,20150422,33.0,52.404,13.7309,Berlin-Kaniswall,Berlin,O
416,19820701,19960930,47.0,52.4069,13.4127,Berlin-Lichtenrade,Berlin,O
417,19360101,19561031,43.0,52.4144,13.3036,Berlin-Lichterfelde (Süd),Berlin,O
420,19930501,20150422,60.0,52.5447,13.5598,Berlin-Marzahn,Berlin,O
422,19560101,19641231,35.0,52.5333,13.3833,Berlin-Mitte,Berlin,O
425,19590101,19820630,38.0,52.4044,13.4838,Berlin-Rudow,Berlin,O
427,19670101,20150422,46.0,52.3807,13.5306,Berlin-Schönefeld,Brandenburg,O
429,19861001,19870131,32.0,52.5667,13.1694,Berlin-Spandau,Berlin,O
430,19630101,20150422,36.0,52.5644,13.3088,Berlin-Tegel,Berlin,O
432,19780401,19941231,36.0,52.6044,13.2952,Berlin-Tegeler Fliesstal,Berlin,O
433,19480101,20150422,48.0,52.4675,13.4021,Berlin-Tempelhof,Berlin,O
434,19470101,19601231,35.0,52.4553,13.4699,Berlin-Treptow,Berlin,O
435,19640101,20061231,45.0,52.4289,13.2327,Berlin-Zehlendorf,Berlin,O
445,19520101,20150422,84.0,51.8218,11.7109,Bernburg/Saale (Nord),Sachsen-Anhalt,O
450,19450101,20121203,120.0,49.9186,7.0664,Bernkastel-Kues,Rheinland-Pfalz,W
460,19510101,20150422,363.0,49.264,6.6868,Berus,Saarland,W
474,19590101,19860930,599.0,48.1252,9.7639,Warthausen-Birkenhard,Baden-Württemberg,S
480,19450101,20061231,349.0,50.9198,8.5268,Biedenkopf,Hessen,W
502,19670801,20061231,412.0,49.8747,9.4883,Bischbrunn,Bayern,S
526,19510101,19751231,254.0,50.6738,11.2805,"Blankenburg, Bad",Thüringen,O
535,19470101,20150422,417.0,50.0355,7.3048,Blankenrath,Rheinland-Pfalz,W
550,19940501,20020930,344.0,50.9041,11.7985,Bobeck,Thüringen,O
553,19540101,19740831,25.0,51.838,6.6107,Bocholt (Marienschule),Nordrhein-Westfalen,W
554,19470101,20060228,23.0,51.8293,6.5365,Bocholt-Liedern (Wasserwerk),Nordrhein-Westfalen,W
555,19400101,20150422,101.0,51.4789,7.2697,Bochum,Nordrhein-Westfalen,W
576,19870801,20031231,445.0,48.6759,8.9732,Böblingen,Baden-Württemberg,S
578,19510301,19661231,379.0,48.9451,11.3667,Böhming,Bayern,S
588,19920501,19960731,105.0,51.752,9.3953,Boffzen,Niedersachsen,N
591,19470101,20150422,45.0,53.3911,10.6878,Boizenburg,Mecklenburg-Vorpommern,O
592,19460101,19621231,10.0,53.8634,9.7344,Bokel,Schleswig-Holstein,N
